"응답자특성별1(1)","응답자특성별2(1)",2016
"첫 피해 연령","계",100.0
"첫 피해 연령","19세 미만",63.1
"첫 피해 연령","19세～35세 미만",28.6
"첫 피해 연령","35세～50세 미만",8.3
"첫 피해 연령","50세 이상",0.0
"피해 횟수","계 ",100.0
"피해 횟수","1회",60.1
"피해 횟수","2회",35.3
"피해 횟수","3회 이상 ",4.6
"가해자 유형(복수응답)","모르는 사람",22.3
"가해자 유형(복수응답)","아는 사람",77.7
"발생장소    (복수응답)","집",36.6
"발생장소    (복수응답)","주택가 및 이면도로(거주지우선 주차도로 포함)",8.0
"발생장소    (복수응답)","상업지역",17.6
"발생장소    (복수응답)","학교",0.0
"발생장소    (복수응답)","직장",8.3
"발생장소    (복수응답)","주차장",0.0
"발생장소    (복수응답)","야외, 거리, 산야",10.9
"발생장소    (복수응답)","지하철, 버스 등 대중교통시설",18.8
"발생장소    (복수응답)","병원",0.0
"발생장소    (복수응답)","기타 ",15.2
